Source;Target;Type;Id;Relation
001;130;Directed;001;Relation
002;315;Directed;002;Relation
003;219;Directed;003;Relation
004;016;Directed;004;Relation
005;358;Directed;005;Relation
005;042;Directed;006;Relation
007;286;Directed;007;Relation
007;177;Directed;008;Relation
007;283;Directed;009;Relation
008;360;Directed;010;Relation
010;234;Directed;011;Relation
012;333;Directed;012;Relation
014;255;Directed;013;Relation
014;224;Directed;014;Relation
014;114;Directed;015;Relation
016;131;Directed;016;Relation
016;100;Directed;017;Relation
016;288;Directed;018;Relation
016;310;Directed;019;Relation
017;294;Directed;020;Relation
017;017;Directed;021;Relation
018;018;Directed;022;Relation
018;300;Directed;023;Relation
019;136;Directed;024;Relation
019;166;Directed;025;Relation
019;072;Directed;026;Relation
020;275;Directed;027;Relation
020;360;Directed;028;Relation
020;078;Directed;029;Relation
020;008;Directed;030;Relation
021;054;Directed;031;Relation
025;078;Directed;032;Relation
025;360;Directed;033;Relation
025;008;Directed;034;Relation
026;132;Directed;035;Relation
028;354;Directed;036;Relation
028;376;Directed;037;Relation
028;077;Directed;038;Relation
030;218;Directed;039;Relation
032;179;Directed;040;Relation
033;235;Directed;041;Relation
035;154;Directed;042;Relation
036;240;Directed;043;Relation
037;182;Directed;044;Relation
037;203;Directed;045;Relation
042;358;Directed;046;Relation
044;070;Directed;047;Relation
045;304;Directed;048;Relation
045;010;Directed;049;Relation
047;007;Directed;050;Relation
049;168;Directed;051;Relation
049;262;Directed;052;Relation
049;091;Directed;053;Relation
051;031;Directed;054;Relation
052;104;Directed;055;Relation
054;176;Directed;056;Relation
056;284;Directed;057;Relation
056;008;Directed;058;Relation
056;025;Directed;059;Relation
056;020;Directed;060;Relation
056;149;Directed;061;Relation
058;175;Directed;062;Relation
059;271;Directed;063;Relation
059;067;Directed;064;Relation
059;257;Directed;065;Relation
059;224;Directed;066;Relation
060;061;Directed;067;Relation
061;006;Directed;068;Relation
063;189;Directed;069;Relation
063;325;Directed;070;Relation
066;066;Directed;071;Relation
066;043;Directed;072;Relation
067;257;Directed;073;Relation
067;105;Directed;074;Relation
067;310;Directed;075;Relation
067;224;Directed;076;Relation
068;289;Directed;077;Relation
068;358;Directed;078;Relation
069;244;Directed;079;Relation
069;021;Directed;080;Relation
070;070;Directed;081;Relation
070;119;Directed;082;Relation
070;038;Directed;083;Relation
070;098;Directed;084;Relation
070;103;Directed;085;Relation
070;294;Directed;086;Relation
070;294;Directed;087;Relation
070;294;Directed;088;Relation
072;203;Directed;089;Relation
072;145;Directed;090;Relation
073;257;Directed;091;Relation
074;271;Directed;092;Relation
074;268;Directed;093;Relation
074;257;Directed;094;Relation
074;067;Directed;095;Relation
074;310;Directed;096;Relation
074;375;Directed;097;Relation
075;310;Directed;098;Relation
075;362;Directed;099;Relation
075;200;Directed;100;Relation
075;344;Directed;101;Relation
076;191;Directed;102;Relation
076;076;Directed;103;Relation
076;243;Directed;104;Relation
076;239;Directed;105;Relation
076;017;Directed;106;Relation
076;017;Directed;107;Relation
076;017;Directed;108;Relation
076;032;Directed;109;Relation
076;337;Directed;110;Relation
076;265;Directed;111;Relation
076;331;Directed;112;Relation
076;103;Directed;113;Relation
076;371;Directed;114;Relation
076;301;Directed;115;Relation
077;197;Directed;116;Relation
083;223;Directed;117;Relation
084;028;Directed;118;Relation
084;245;Directed;119;Relation
084;251;Directed;120;Relation
084;205;Directed;121;Relation
084;055;Directed;122;Relation
084;348;Directed;123;Relation
084;339;Directed;124;Relation
084;287;Directed;125;Relation
085;014;Directed;126;Relation
086;299;Directed;127;Relation
086;205;Directed;128;Relation
087;119;Directed;129;Relation
087;010;Directed;130;Relation
088;107;Directed;131;Relation
089;361;Directed;132;Relation
092;146;Directed;133;Relation
092;102;Directed;134;Relation
095;354;Directed;135;Relation
096;299;Directed;136;Relation
096;028;Directed;137;Relation
096;205;Directed;138;Relation
099;284;Directed;139;Relation
099;149;Directed;140;Relation
099;008;Directed;141;Relation
099;020;Directed;142;Relation
099;025;Directed;143;Relation
100;085;Directed;144;Relation
