Layer;Ontology;Path;Concept;Stereotype;Generalizations;Definition;Example;Relations
DOMAIN;CMPO;3.Domain:CMPO;Change Requesting;event;SPO:Performed Simple Activity   ;Activity for requesting the modification of a set of Configuration Items.;;4
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Measurement Executor;role;SPO:Stakeholder   ;Role played by the Stakeholder in charge of Software Measurement Execution. It does not include automated measurement (by tools).; If Mary (a Person Stakeholder) was in charge of a software measurement execution, then she played the role of measurement executor.;2
DOMAIN;RRO;3.Domain:RRO:Program Execution;Controller;;RRO:Machine   ;A Machine where a Loaded Program Copy is running (Program Copy Execution) plays the role of Controller.;;1
DOMAIN;CPO;3.Domain:CPO;Programmer;role;SPO:Stakeholder   ;Stakeholder with programming skills responsible for producing and documenting the software Code.;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Physical Agent;category;UFO:Agent   ;;;0
CORE;SPO;2.Core:SPO:Software Process Execution:Performed Process;Performed Project Process;event;SPO:Performed Process   ;Performed Process executed within a Project.; a performed Requirement Process, a performed Construction Process.;2
DOMAIN;SPMO;3.Domain:SPMO:Estimated Process;Estimated Activity;;SPO:Scheduled Activity   SPMO:Cost Estimated Activity   SPMO:Scope Estimated Activity   SPMO:Duration Estimated Activity   SPO:Project Activity   ;A Project Activity with scope, cost, duration and time estimated.;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Externally Dependent Moment;;UFO:Intrinsic Moment   ;;;1
DOMAIN;QAPO;3.Domain:QAPO;Noncompliance Control;event;SPO:Performed Composite Activity   ;Activity for managing the registered noncompliances until their effective resolution.;;6
DOMAIN;CMPO;3.Domain:CMPO;Baseline Establishment;event;SPO:Performed Composite Activity   ;Activity for establishing a Baseline embracing a planned set of Configuration Items' Versions.;;5
